name,Luu luong (luot/ngay),Ty le xe may (%),Ty le o to (%)
vòng xoay Thái Bình,290365,75,10
Đường sô 44,183672,69,7
Thạnh Lộc 15,166188,75,10
Thạnh Lộc 27,171172,75,5
Lê Lợi Boulevard,264811,71,9
Quốc lộ 1K,346105,72,8
Trang Tử,174407,72,9
Đường Liên Ấp 5-6,105361,68,10
Đường số 2A,163144,73,8
Đường số 3B,196434,68,7
Trần Quang Cơ,191036,78,5
Nguyễn Huệ,345564,70,9
Thạnh Xuân 25,101831,71,7
Nhị Tân 1,22702,70,9
Tuyến 7 Xuân Thới Sơn,35662,71,9
Cây Bàng,21877,73,10
Hoàng Thế Thiện,196558,75,8
Bình Chiểu,183004,70,5
Nguyễn Thế Truyện,163631,76,7
Trần Tấn,273236,70,7
Nguyễn Văn Săng,247015,74,7
Đoàn Hồng Phước,12075,71,8
Cầu vượt Nút giao Quốc lộ 1A (Số 11),338124,77,5
Phạm Văn Hai,296566,72,8
Phan Đình Phùng,349647,72,10
Trịnh Phong Đáng,195451,70,5
Lê Thị Riêng,248125,74,9
Bùi Thị Xuân,214379,71,5
Đông Hồ,125403,69,9
Nguyễn Đức Thuận,159563,78,6
Đường số 34,137610,73,6
Hòa Bình,277925,76,6
Hoà Hảo,248480,71,7
Khuông Việt,277861,74,8
Sư Van Hạnh,339420,75,10
Tân Xuân 6,24379,69,6
Trương Phước Phan,156212,72,7
Cầu Tạ Quang Bửu,298198,71,6
Đường Vành Đai,298588,75,6
Nguyễn Cư Trinh,260034,71,7
Công Trường Quách Thị Trang,351683,78,5
Đại lộ vòng cung,237842,76,6
Liên khu 10-11,101733,76,7
Nguyễn Văn Yến,163358,72,9
Bà Hom,297344,73,10
Cầu Phú Hữu,269983,77,5
Đường số 18B,189833,70,10
Tháp Mười,130724,77,10
đường song hành cao tốc Long Thành Dầu Giây,245575,75,6
đường vành đai Sam Sung,253630,74,10
Bưng Ông Thòan,105376,76,8
Cầu Ông Buông 2,139253,74,7
Lê Duẩn,375256,74,8
cầu Rạch Ông,191125,70,7
Tân Hoá,136391,75,10
Lò Gốm,203789,69,10
Nguyễn Cơ Thạch,396836,70,5
Trần Bình Trọng,261926,77,7
Hàn Hải Nguyên,265189,75,9
Cầu Phú An,250765,75,8
Hòa Hảo,295956,75,8
Cầu vượt Ngã Sáu Gò Vấp,399239,73,10
Cầu Kênh C,60440,78,6
Cao Văn Lầu,139473,72,9
Cầu vượt Hàng Xanh,350234,75,7
cầu vượt vào sân bay,341338,72,5
Đi ga trong nước,306687,68,9
Đi ga quốc tế,307565,78,8
cầu vượt,26026,72,5
Thạnh Lộc 13,146789,68,5
Bình Đức,126921,75,5
Nguyễn Thị Thử,197371,69,5
Khuất Văn Bức,161576,78,7
Hem 3m,40699,74,7
RAI_65_Q9_007,68038,71,6
RAI_65_Q9_009,33693,75,6
Đường D10,141245,73,10
Cầu Ngô Chí Quốc,223901,76,5
Lê Văn Tách,172045,75,10
Cầu vượt Ngã tư Gò Mây,351332,78,10
Câu vượt Ngã tư Gò Mây,363283,72,5
Nguyễn Thị Nhung,130856,77,10
Đường số 39,194599,72,6
Đường số 42,106706,72,8
Đường số 23,158242,72,5
Tự Do,168448,75,7
Cầu Tân Hóa,286472,78,9
Tân Hóa,164027,72,8
Lê Tấn Bê,125405,77,5
Bến Lội,175823,74,10
Cầu Ông Búp,37171,69,6
Cầu An Lạc,246350,77,7
Hẻm 265 An Dương Vương,52211,69,7
Chiến Lược,264387,68,8
Hẻm 686 Quốc lộ 1A,77728,76,9
Võ Hữu Lợi,131774,68,6
Hẻm 322 Hòa Hưng,21104,72,10
Lý Thánh Tông,175794,78,6
Hẻm 295 Tân Hòa Đông,50035,78,8
Nguyễn Lương Bằng nối dài,245790,69,6
Hẻm 551 Lê Văn Khương,46549,71,8
Đông Thạnh 2,118601,76,8
Yersin,107343,75,8
Ngã tư An Sương,379560,76,8
Hầm chui An Sương - N1,303244,76,7
Hẻm 239 Khuông Việt,49230,77,5
Vòng xoay Mỹ Thủy,330282,77,8
An Phú Đông 3,138076,71,6
Hẻm 2385 Phạm Thế Hiển,20492,73,5
Hẻm 1917 Phạm Thế Hiển,29892,77,9
Đường số 69,177761,69,6
Mã Lò,150866,73,8
Đường số 18,108423,71,7
Đường số 4,157898,72,9
Bùi Văn Ngữ,175813,78,8
Nguyễn Hoàng,272043,73,6
Đặng Thúc Vịnh,245909,77,9
Phan Văn Hân,237622,71,10
Nguyễn Ngọc Phương,167800,77,8
Đường Vành đai ĐHQG,284424,74,10
Võ Văn Vân,195482,68,9
Xuân Thới 15,42778,68,10
Đường N2,151864,70,9
Xuân Thới 7,47059,72,5
Đông Hưng Thuận 11,126182,76,8
Đông Hưng Thuận 42,133001,78,9
Hương lộ 80,252641,75,5
Phan Văn Dối,145722,72,5
Số 2,59885,72,10
Hẻm 1014 Tân Kỳ Tân Quý,41462,75,8
Đường số 1A,103422,68,6
Hoàng Đạo Thúy,100255,74,7
Hẻm 236 Hồ Văn Huê,87436,74,6
Phùng Khắc Khoan,278678,75,5
Ấp Bắc,110327,68,5
Đường SINCO,168566,76,6
Thạnh Lộc 22,162938,77,10
An Phú Đông 10,161750,76,7
Hẻm 246/64 Hòa Hưng,11086,78,6
Hồ Xuân Hương,206110,77,6
Đường số 13A,176100,69,10
Đường số 14A,197022,68,6
Vân Côi,166117,69,5
Hẻm 117 Hồ Văn Long,39643,68,7
Nguyễn Thức Tự,178940,75,9
Đường số 17B,159882,71,7
Học Lạc,140240,73,9
Hẻm 1331 Lê Đức Thọ,87648,71,9
Hẻm 14/23 đường số 53,80369,68,5
X2,88939,75,10
X1,86167,74,10
Đình Nghi Xuân,80020,71,9
